text,topic,summary
"

	But she was still quaking as she resumed her seat, and laid her hand again on his heart. She wished that she had asked Mary to sit outside the door; there was no bell in the room. To call would be worse than desecrating the house of God, and she would not leave him for one moment. To return and find him dead--gone alone!",death and the woman_segment_15.txt," She wished that she had asked Mary to sit outside the door; there was no bell in the room . To call would be worse than desecrating the house of God, and she would not leave him for one moment ."
"

	Shoes and a muff were given her; she was, too, dressed very nicely; and when she was about to set off, a new carriage stopped before the door. It was of pure gold, and the arms of the Prince and Princess shone like a star upon it; the coachman, the footmen, and the outriders, for outriders were there, too, all wore golden crowns. The Prince and the Princess assisted her into the carriage themselves, and wished her all success. The Raven of the woods, who was now married, accompanied her for the first three miles. He sat beside Gerda, for he could not bear riding backwards; the other Raven stood in the doorway, and flapped her wings; she could not accompany Gerda, because she suffered from headache since she had had a fixed appointment and ate so much. The carriage was lined inside with sugar-plums, and in the seats were fruits and gingerbread.",the snow queen_segment_83.txt," The Prince and the Princess assisted her into the carriage themselves, and wished her all success . The Raven of the woods, who was now married, accompanied her for the first three miles ."
"

	Finally, one day, the gaoler cried to him, as he was passing by the window:

	'You have lost your chance, my ill-favoured raven. They have found another.'

	'The devil take you! Go, be the hangman yourself!' replied the Tzigane. And he ceased to dream of the splendors of his trade.",the seven that were hanged_segment_89.txt," The gaoler cried to him, one day, as he was passing by the window: 'You have lost your chance, my ill-favoured raven. They have found another.' He ceased to dream of the splendors of"
"

	'Where is the Sound due? Where have you put the soul?' screamed Old Nick.

	'It sits inside this stump. If you want it, spit in your fists and take it,' said Grumblegizzard.",grumblegizzard_segment_56.txt," 'Where is the Sound due? Where have you put the soul?' screamed Old Nick . 'If you want it, spit in your fists and take it,' said Grumblegizzard ."
"

	The old butler, Jean-Marie, almost shoved him into the drawing-room, and for a moment his terrors retreated before a wave of artistic pleasure never before experienced in the house of Dupont. The heavy old mahogany furniture, the bow-windows, even the clumsy old candelabra were completely obliterated by a thousand American Beauty roses. It was a bower of surpassing richness and distinction for a group of women as handsome and exquisitely dressed as Louis had ever seen in the foyer of the opera-house in Paris.",the sacrificial alter_segment_37.txt," The old butler, Jean-Marie, almost shoved him into the drawing-room, and for a moment his terrors retreated before a wave of artistic pleasure . The heavy old mahogany furniture, the bow-windows, even"
"

	' The idea came to me suddenly, excellency,' replied the aviator, ' and you may consider it worthless. It is just this. The resemblance is so amazing. Paul Jouperts has given us more valuable information than any one at present in our service. And the English know that. There is an award of twenty-five thousand francs on liis head. Twice they have captured him, and each time he escaped. All the company com- manders and their staff have his photograph. He is a serious thorn in their flesh.'",a source of irritation_segment_28.txt," Paul Jouperts has given us more valuable information than any one at present in our service . There is an award of twenty-five thousand francs on liis head. Twice they have captured him, and each time he escaped."
"

	'Does a stove look beautiful?' asked the Snow Man, 'is it at all like me?'

	'It is just the reverse of you,' said the dog; 'it's as black as a crow, and has a long neck and a brass knob; it eats firewood, so that fire spurts out of its mouth. We should keep on one side, or under it, to be comfortable. You can see it through the window, from where you stand.'",the snow man_segment_14.txt," Snow Man: 'Does a stove look beautiful?' asked the Snow Man, 'is it at all like me?' 'It is just the reverse of you,' said the dog . 'It's as black as a crow, and has"
"

	''You are talking too much,' said the tinder-box, and the steel struck against the flint till some sparks flew out, crying, 'We want a merry evening, don't we?'",the flying trunk_segment_9.txt," ''You are talking too much,' said the tinder-box, and the steel struck against the flint till some sparks flew out, crying, 'We want a merry evening, don't we?'"
"

	And he caught him up too, for he ran light, and used his wings, while Grumblegizzard had to keep to the ground under the weight of the big scrip; but, just as Old Nick was at his heels, he began to run and jump as fast as he could; and he held his club behind him to keep Old Nick off. And so they went along, Grumblegizzard holding the haft, and Old Nick clawing at the head, till they came to a deep dale; there Grumblegizzard leapt from one hill-top to the other, and Old Nick was so hot to follow, that he tripped over the club and fell down into the dale, and broke his leg, and so there he lay.

	'Here you have the land-tax,' said Grumblegizzard, as he came to the king's grange, and dashed down the scripful of money before the king, so that the whole gallery creaked and cracked.",grumblegizzard_segment_32.txt," Grumblegizzard held his club behind him to keep Old Nick off, but he ran light, and used his wings . Old Nick was so hot to follow, that he tripped over the club and fell down into the dale"
"

	'You needn't be; I shall stand close by, and your ma will be there.'

	After the handkerchief was tied about her eyes, Nurse led Effie up some steps, and placed her on a high platform, where something like leaves touched her head, and the soft snap of lamps seemed to fill the air. Music began as soon as Nurse clapped her hands, the voices outside sounded nearer, and the tramp was evidently coming up the stairs.

	'Now, my precious, look and see how you and your dear ma have made a merry Christmas for them that needed it!'",a christmas dream and how it came to be true_segment_58.txt," Nurse led Effie up some steps, and placed her on a high platform, where something like leaves touched her head, and the soft snap of lamps seemed to fill the air . Music began as soon as Nurse clapped her hands,"
